material_name,melting_point_c,density_g_cm3,specific_heat_j_kg_k,target_conversion_pct,required_temp_c
Ac2NiIr,646.1,11.67,212.5,70.0,452.3
Ac2NiIr,646.1,11.67,212.5,80.0,516.9
Ac2NiIr,646.1,11.67,212.5,90.0,581.5
Ac2NiIr,646.1,11.67,212.5,100.0,696.1
Ac2O3,2182.0,9.11,271.5,50.0,1091.0
Ac2O3,2182.0,9.11,271.5,60.0,1309.2
Ac2O3,2182.0,9.11,271.5,70.0,1527.4
Ac2O3,2182.0,9.11,271.5,80.0,1745.6
Ac2O3,2182.0,9.11,271.5,90.0,1963.8
Ac2O3,2182.0,9.11,271.5,100.0,2232.0
Ac2S3,1621.9,6.54,376.8,50.0,810.9
Ac2S3,1621.9,6.54,376.8,60.0,973.1
Ac2S3,1621.9,6.54,376.8,70.0,1135.3
Ac2S3,1621.9,6.54,376.8,80.0,1297.5
Ac2S3,1621.9,6.54,376.8,90.0,1459.7
Ac2S3,1621.9,6.54,376.8,100.0,1671.9
Ac2SiPd,771.1,8.61,287.0,50.0,385.6
Ac2SiPd,771.1,8.61,287.0,60.0,462.7
Ac2SiPd,771.1,8.61,287.0,70.0,539.8
Ac2SiPd,771.1,8.61,287.0,80.0,616.9
Ac2SiPd,771.1,8.61,287.0,90.0,694.0
Ac2SiPd,771.1,8.61,287.0,100.0,821.1
Ac2TlCd,683.2,9.26,267.2,50.0,341.6
Ac2TlCd,683.2,9.26,267.2,60.0,409.9
Ac2TlCd,683.2,9.26,267.2,70.0,478.2
Ac2TlCd,683.2,9.26,267.2,80.0,546.5
Ac2TlCd,683.2,9.26,267.2,90.0,614.8
Ac2TlCd,683.2,9.26,267.2,100.0,733.2
Ac2TlIn,731.0,9.19,269.1,50.0,365.5
Ac2TlIn,731.0,9.19,269.1,60.0,438.6
Ac2TlIn,731.0,9.19,269.1,70.0,511.7
Ac2TlIn,731.0,9.19,269.1,80.0,584.8
Ac2TlIn,731.0,9.19,269.1,90.0,657.9
Ac2TlIn,731.0,9.19,269.1,100.0,781.0
Ac2TlSn,756.6,9.28,266.6,50.0,378.3
Ac2TlSn,756.6,9.28,266.6,60.0,453.9
Ac2TlSn,756.6,9.28,266.6,70.0,529.6
Ac2TlSn,756.6,9.28,266.6,80.0,605.3
Ac2TlSn,756.6,9.28,266.6,90.0,680.9
Ac2TlSn,756.6,9.28,266.6,100.0,806.6
Ac2ZnGe,705.7,8.34,296.3,50.0,352.8
Ac2ZnGe,705.7,8.34,296.3,60.0,423.4
Ac2ZnGe,705.7,8.34,296.3,70.0,494.0
Ac2ZnGe,705.7,8.34,296.3,80.0,564.5
Ac2ZnGe,705.7,8.34,296.3,90.0,635.1
Ac2ZnGe,705.7,8.34,296.3,100.0,755.7
Ac2ZnHg,673.0,9.5,260.3,50.0,336.5
Ac2ZnHg,673.0,9.5,260.3,60.0,403.8
Ac2ZnHg,673.0,9.5,260.3,70.0,471.1
Ac2ZnHg,673.0,9.5,260.3,80.0,538.4
Ac2ZnHg,673.0,9.5,260.3,90.0,605.7
Ac2ZnHg,673.0,9.5,260.3,100.0,723.0
Ac2ZnIn,673.6,8.06,306.3,50.0,336.8
Ac2ZnIn,673.6,8.06,306.3,60.0,404.2
Ac2ZnIn,673.6,8.06,306.3,70.0,471.5
Ac2ZnIn,673.6,8.06,306.3,80.0,538.9
Ac2ZnIn,673.6,8.06,306.3,90.0,606.3
Ac2ZnIn,673.6,8.06,306.3,100.0,723.6
Ac3In,612.6,8.55,289.1,50.0,306.3
Ac3In,612.6,8.55,289.1,60.0,367.6
Ac3In,612.6,8.55,289.1,70.0,428.8
Ac3In,612.6,8.55,289.1,80.0,490.1
Ac3In,612.6,8.55,289.1,90.0,551.3
Ac3In,612.6,8.55,289.1,100.0,662.6
Ac3Tl,573.7,9.51,260.2,50.0,286.9
Ac3Tl,573.7,9.51,260.2,60.0,344.2
Ac3Tl,573.7,9.51,260.2,70.0,401.6
Ac3Tl,573.7,9.51,260.2,80.0,459.0
Ac3Tl,573.7,9.51,260.2,90.0,516.3
Ac3Tl,573.7,9.51,260.2,100.0,623.7
AcAg,622.0,9.04,273.6,50.0,311.0
AcAg,622.0,9.04,273.6,60.0,373.2
AcAg,622.0,9.04,273.6,70.0,435.4
AcAg,622.0,9.04,273.6,80.0,497.6
AcAg,622.0,9.04,273.6,90.0,559.8
AcAg,622.0,9.04,273.6,100.0,672.0
AcAg2Pb,640.1,10.34,239.6,50.0,320.0
AcAg2Pb,640.1,10.34,239.6,60.0,384.1
AcAg2Pb,640.1,10.34,239.6,70.0,448.1
AcAg2Pb,640.1,10.34,239.6,80.0,512.1
AcAg2Pb,640.1,10.34,239.6,90.0,576.1
AcAg2Pb,640.1,10.34,239.6,100.0,690.1
AcAg3,590.2,9.09,272.0,50.0,295.1
AcAg3,590.2,9.09,272.0,60.0,354.1
AcAg3,590.2,9.09,272.0,70.0,413.1
AcAg3,590.2,9.09,272.0,80.0,472.1
AcAg3,590.2,9.09,272.0,90.0,531.2
AcAg3,590.2,9.09,272.0,100.0,640.2
AcAl3,684.0,5.21,470.8,50.0,342.0
AcAl3,684.0,5.21,470.8,60.0,410.4
AcAl3,684.0,5.21,470.8,70.0,478.8
AcAl3,684.0,5.21,470.8,80.0,547.2
AcAl3,684.0,5.21,470.8,90.0,615.6
AcAl3,684.0,5.21,470.8,100.0,734.0
AcAlO3,2160.5,8.73,283.2,50.0,1080.3
AcAlO3,2160.5,8.73,283.2,60.0,1296.3
AcAlO3,2160.5,8.73,283.2,70.0,1512.4
AcAlO3,2160.5,8.73,283.2,80.0,1728.4
AcAlO3,2160.5,8.73,283.2,90.0,1944.5
AcAlO3,2160.5,8.73,283.2,100.0,2210.5
AcAu3,847.1,13.95,177.9,50.0,423.5
AcAu3,847.1,13.95,177.9,60.0,508.2
AcAu3,847.1,13.95,177.9,70.0,593.0
AcAu3,847.1,13.95,177.9,80.0,677.7
AcAu3,847.1,13.95,177.9,90.0,762.4
AcAu3,847.1,13.95,177.9,100.0,897.1
AcBr3,1622.5,5.68,432.6,50.0,811.3
AcBr3,1622.5,5.68,432.6,60.0,973.5
AcBr3,1622.5,5.68,432.6,70.0,1135.8
AcBr3,1622.5,5.68,432.6,80.0,1298.0
AcBr3,1622.5,5.68,432.6,90.0,1460.3
AcBr3,1622.5,5.68,432.6,100.0,1672.5
AcBrO,2028.3,7.65,322.5,50.0,1014.1
AcBrO,2028.3,7.65,322.5,60.0,1217.0
AcBrO,2028.3,7.65,322.5,70.0,1419.8
AcBrO,2028.3,7.65,322.5,80.0,1622.6
AcBrO,2028.3,7.65,322.5,90.0,1825.5
AcBrO,2028.3,7.65,322.5,100.0,2078.3
AcCdHg2,709.8,11.29,219.4,50.0,354.9
AcCdHg2,709.8,11.29,219.4,60.0,425.9
AcCdHg2,709.8,11.29,219.4,70.0,496.9
AcCdHg2,709.8,11.29,219.4,80.0,567.8
AcCdHg2,709.8,11.29,219.4,90.0,638.8
AcCdHg2,709.8,11.29,219.4,100.0,759.8
AcCdRh2,659.3,11.01,225.0,50.0,329.7
AcCdRh2,659.3,11.01,225.0,60.0,395.6
AcCdRh2,659.3,11.01,225.0,70.0,461.5
AcCdRh2,659.3,11.01,225.0,80.0,527.4
AcCdRh2,659.3,11.01,225.0,90.0,593.4
AcCdRh2,659.3,11.01,225.0,100.0,709.3
AcCl3,1754.6,4.72,518.2,50.0,877.3
AcCl3,1754.6,4.72,518.2,60.0,1052.8
AcCl3,1754.6,4.72,518.2,70.0,1228.2
AcCl3,1754.6,4.72,518.2,80.0,1403.7
AcCl3,1754.6,4.72,518.2,90.0,1579.2
AcCl3,1754.6,4.72,518.2,100.0,1804.6
AcClO,2113.9,7.16,344.5,50.0,1056.9
AcClO,2113.9,7.16,344.5,60.0,1268.3
AcClO,2113.9,7.16,344.5,70.0,1479.7
AcClO,2113.9,7.16,344.5,80.0,1691.1
AcClO,2113.9,7.16,344.5,90.0,1902.5
AcClO,2113.9,7.16,344.5,100.0,2163.9
AcCrO3,1912.5,8.85,279.4,50.0,956.3
AcCrO3,1912.5,8.85,279.4,60.0,1147.5
AcCrO3,1912.5,8.85,279.4,70.0,1338.8
AcCrO3,1912.5,8.85,279.4,80.0,1530.0
AcCrO3,1912.5,8.85,279.4,90.0,1721.3
AcCrO3,1912.5,8.85,279.4,100.0,1962.5
AcCu3,526.8,8.57,288.3,50.0,263.4
AcCu3,526.8,8.57,288.3,60.0,316.1
AcCu3,526.8,8.57,288.3,70.0,368.8
AcCu3,526.8,8.57,288.3,80.0,421.4
AcCu3,526.8,8.57,288.3,90.0,474.1
AcCu3,526.8,8.57,288.3,100.0,576.8
AcCuO3,1590.3,9.38,263.7,50.0,795.2
AcCuO3,1590.3,9.38,263.7,60.0,954.2
AcCuO3,1590.3,9.38,263.7,70.0,1113.2
AcCuO3,1590.3,9.38,263.7,80.0,1272.2
AcCuO3,1590.3,9.38,263.7,90.0,1431.3
AcCuO3,1590.3,9.38,263.7,100.0,1640.3
AcEuAu2,850.9,11.54,214.9,50.0,425.5
AcEuAu2,850.9,11.54,214.9,60.0,510.6
AcEuAu2,850.9,11.54,214.9,70.0,595.7
AcEuAu2,850.9,11.54,214.9,80.0,680.8
AcEuAu2,850.9,11.54,214.9,90.0,765.8
AcEuAu2,850.9,11.54,214.9,100.0,900.9
AcEuZn2,617.8,7.5,328.8,50.0,308.9
AcEuZn2,617.8,7.5,328.8,60.0,370.7
AcEuZn2,617.8,7.5,328.8,70.0,432.4
AcEuZn2,617.8,7.5,328.8,80.0,494.2
AcEuZn2,617.8,7.5,328.8,90.0,556.0
AcEuZn2,617.8,7.5,328.8,100.0,667.8
AcF3,2510.6,8.79,281.1,50.0,1255.3
AcF3,2510.6,8.79,281.1,60.0,1506.4
AcF3,2510.6,8.79,281.1,70.0,1757.4
AcF3,2510.6,8.79,281.1,80.0,2008.5
AcF3,2510.6,8.79,281.1,90.0,2259.5
AcF3,2510.6,8.79,281.1,100.0,2560.6
AcFeO3,1747.2,8.89,278.1,50.0,873.6
AcFeO3,1747.2,8.89,278.1,60.0,1048.3
AcFeO3,1747.2,8.89,278.1,70.0,1223.0
AcFeO3,1747.2,8.89,278.1,80.0,1397.8
AcFeO3,1747.2,8.89,278.1,90.0,1572.5
AcFeO3,1747.2,8.89,278.1,100.0,1797.2
AcGaO3,1878.5,9.31,265.5,50.0,939.2
AcGaO3,1878.5,9.31,265.5,60.0,1127.1
AcGaO3,1878.5,9.31,265.5,70.0,1314.9
AcGaO3,1878.5,9.31,265.5,80.0,1502.8
AcGaO3,1878.5,9.31,265.5,90.0,1690.6
AcGaO3,1878.5,9.31,265.5,100.0,1928.5
AcGe3,699.9,7.86,314.1,50.0,350.0
AcGe3,699.9,7.86,314.1,60.0,420.0
AcGe3,699.9,7.86,314.1,70.0,490.0
AcGe3,699.9,7.86,314.1,80.0,560.0
AcGe3,699.9,7.86,314.1,90.0,630.0
AcGe3,699.9,7.86,314.1,100.0,749.9
AcH2,808.0,7.35,335.8,50.0,404.0
AcH2,808.0,7.35,335.8,60.0,484.8
AcH2,808.0,7.35,335.8,70.0,565.6
AcH2,808.0,7.35,335.8,80.0,646.4
AcH2,808.0,7.35,335.8,90.0,727.2
AcH2,808.0,7.35,335.8,100.0,858.0
AcH3,802.3,7.78,317.1,50.0,401.2
AcH3,802.3,7.78,317.1,60.0,481.4
AcH3,802.3,7.78,317.1,70.0,561.6
AcH3,802.3,7.78,317.1,80.0,641.8
AcH3,802.3,7.78,317.1,90.0,722.1
AcH3,802.3,7.78,317.1,100.0,852.3
AcHg3,714.8,12.29,201.8,50.0,357.4
AcHg3,714.8,12.29,201.8,60.0,428.9
AcHg3,714.8,12.29,201.8,70.0,500.3
AcHg3,714.8,12.29,201.8,80.0,571.8
AcHg3,714.8,12.29,201.8,90.0,643.3
AcHg3,714.8,12.29,201.8,100.0,764.8
AcHgRh2,644.8,12.77,194.2,50.0,322.4
AcHgRh2,644.8,12.77,194.2,60.0,386.9
AcHgRh2,644.8,12.77,194.2,70.0,451.3
AcHgRh2,644.8,12.77,194.2,80.0,515.8
AcHgRh2,644.8,12.77,194.2,90.0,580.3
AcHgRh2,644.8,12.77,194.2,100.0,694.8
AcI3,1310.5,4.33,563.8,50.0,655.2
AcI3,1310.5,4.33,563.8,60.0,786.3
AcI3,1310.5,4.33,563.8,70.0,917.3
AcI3,1310.5,4.33,563.8,80.0,1048.4
AcI3,1310.5,4.33,563.8,90.0,1179.4
AcI3,1310.5,4.33,563.8,100.0,1360.5
AcIn3,747.8,8.12,304.3,50.0,373.9
AcIn3,747.8,8.12,304.3,60.0,448.7
AcIn3,747.8,8.12,304.3,70.0,523.5
AcIn3,747.8,8.12,304.3,80.0,598.3
AcIn3,747.8,8.12,304.3,90.0,673.0
AcIn3,747.8,8.12,304.3,100.0,797.8
AcInHg2,729.8,11.07,223.9,50.0,364.9
AcInHg2,729.8,11.07,223.9,60.0,437.9
AcInHg2,729.8,11.07,223.9,70.0,510.8
AcInHg2,729.8,11.07,223.9,80.0,583.8
AcInHg2,729.8,11.07,223.9,90.0,656.8
AcInHg2,729.8,11.07,223.9,100.0,779.8
AcLaCd2,623.7,7.65,322.7,50.0,311.9
AcLaCd2,623.7,7.65,322.7,60.0,374.2
AcLaCd2,623.7,7.65,322.7,70.0,436.6
AcLaCd2,623.7,7.65,322.7,80.0,499.0
AcLaCd2,623.7,7.65,322.7,90.0,561.3
AcLaCd2,623.7,7.65,322.7,100.0,673.7
AcMg,527.0,5.93,414.7,50.0,263.5
AcMg,527.0,5.93,414.7,60.0,316.2
AcMg,527.0,5.93,414.7,70.0,368.9
AcMg,527.0,5.93,414.7,80.0,421.6
AcMg,527.0,5.93,414.7,90.0,474.3
AcMg,527.0,5.93,414.7,100.0,577.0
AcMg5,516.1,3.53,688.1,50.0,258.1
AcMg5,516.1,3.53,688.1,60.0,309.7
AcMg5,516.1,3.53,688.1,70.0,361.3
AcMg5,516.1,3.53,688.1,80.0,412.9
AcMg5,516.1,3.53,688.1,90.0,464.5
AcMg5,516.1,3.53,688.1,100.0,566.1
AcMgCd2,607.3,7.12,346.1,50.0,303.6
AcMgCd2,607.3,7.12,346.1,60.0,364.4
AcMgCd2,607.3,7.12,346.1,70.0,425.1
AcMgCd2,607.3,7.12,346.1,80.0,485.8
AcMgCd2,607.3,7.12,346.1,90.0,546.6
AcMgCd2,607.3,7.12,346.1,100.0,657.3
AcMgHg2,689.9,9.91,249.9,50.0,344.9
AcMgHg2,689.9,9.91,249.9,60.0,413.9
AcMgHg2,689.9,9.91,249.9,70.0,482.9
AcMgHg2,689.9,9.91,249.9,80.0,551.9
AcMgHg2,689.9,9.91,249.9,90.0,620.9
AcMgHg2,689.9,9.91,249.9,100.0,739.9
AcMgTl2,609.2,9.23,268.0,50.0,304.6
AcMgTl2,609.2,9.23,268.0,60.0,365.5
AcMgTl2,609.2,9.23,268.0,70.0,426.4
AcMgTl2,609.2,9.23,268.0,80.0,487.3
AcMgTl2,609.2,9.23,268.0,90.0,548.2
AcMgTl2,609.2,9.23,268.0,100.0,659.2
AcMgZn2,606.1,6.56,375.2,50.0,303.1
AcMgZn2,606.1,6.56,375.2,60.0,363.7
AcMgZn2,606.1,6.56,375.2,70.0,424.3
AcMgZn2,606.1,6.56,375.2,80.0,484.9
AcMgZn2,606.1,6.56,375.2,90.0,545.5
AcMgZn2,606.1,6.56,375.2,100.0,656.1
AcMnO3,1838.1,8.8,280.8,50.0,919.1
AcMnO3,1838.1,8.8,280.8,60.0,1102.9
AcMnO3,1838.1,8.8,280.8,70.0,1286.7
AcMnO3,1838.1,8.8,280.8,80.0,1470.5
AcMnO3,1838.1,8.8,280.8,90.0,1654.3
AcMnO3,1838.1,8.8,280.8,100.0,1888.1
AcN,1095.2,8.01,308.1,50.0,547.6
AcN,1095.2,8.01,308.1,60.0,657.1
AcN,1095.2,8.01,308.1,70.0,766.6
AcN,1095.2,8.01,308.1,80.0,876.1
AcN,1095.2,8.01,308.1,90.0,985.6
AcN,1095.2,8.01,308.1,100.0,1145.2
AcNiO3,1605.0,9.49,260.6,50.0,802.5
AcNiO3,1605.0,9.49,260.6,60.0,963.0
AcNiO3,1605.0,9.49,260.6,70.0,1123.5
AcNiO3,1605.0,9.49,260.6,80.0,1284.0
AcNiO3,1605.0,9.49,260.6,90.0,1444.5
AcNiO3,1605.0,9.49,260.6,100.0,1655.0
AcOF,2371.7,8.27,298.6,50.0,1185.9
AcOF,2371.7,8.27,298.6,60.0,1423.0
AcOF,2371.7,8.27,298.6,70.0,1660.2
AcOF,2371.7,8.27,298.6,80.0,1897.4
AcOF,2371.7,8.27,298.6,90.0,2134.6
AcOF,2371.7,8.27,298.6,100.0,2421.7
AcPbAu2,807.2,13.16,188.5,50.0,403.6
AcPbAu2,807.2,13.16,188.5,60.0,484.3
AcPbAu2,807.2,13.16,188.5,70.0,565.1
AcPbAu2,807.2,13.16,188.5,80.0,645.8
AcPbAu2,807.2,13.16,188.5,90.0,726.5
AcPbAu2,807.2,13.16,188.5,100.0,857.2
AcRh2Pb,655.7,12.2,203.2,50.0,327.9
AcRh2Pb,655.7,12.2,203.2,60.0,393.4
AcRh2Pb,655.7,12.2,203.2,70.0,459.0
AcRh2Pb,655.7,12.2,203.2,80.0,524.6
AcRh2Pb,655.7,12.2,203.2,90.0,590.2
AcRh2Pb,655.7,12.2,203.2,100.0,705.7
AcTiO3,2123.4,8.4,294.0,50.0,1061.7
AcTiO3,2123.4,8.4,294.0,60.0,1274.1
AcTiO3,2123.4,8.4,294.0,70.0,1486.4
AcTiO3,2123.4,8.4,294.0,80.0,1698.7
AcTiO3,2123.4,8.4,294.0,90.0,1911.1
AcTiO3,2123.4,8.4,294.0,100.0,2173.4
AcTlAg2,606.5,10.48,236.3,50.0,303.2
AcTlAg2,606.5,10.48,236.3,60.0,363.9
AcTlAg2,606.5,10.48,236.3,70.0,424.5
AcTlAg2,606.5,10.48,236.3,80.0,485.2
AcTlAg2,606.5,10.48,236.3,90.0,545.8
AcTlAg2,606.5,10.48,236.3,100.0,656.5
AcTlAu2,791.8,13.19,188.1,50.0,395.9
AcTlAu2,791.8,13.19,188.1,60.0,475.1
AcTlAu2,791.8,13.19,188.1,70.0,554.3
AcTlAu2,791.8,13.19,188.1,80.0,633.5
AcTlAu2,791.8,13.19,188.1,90.0,712.7
AcTlAu2,791.8,13.19,188.1,100.0,841.8
AcTlHg2,704.1,12.09,205.0,50.0,352.0
AcTlHg2,704.1,12.09,205.0,60.0,422.4
AcTlHg2,704.1,12.09,205.0,70.0,492.8
AcTlHg2,704.1,12.09,205.0,80.0,563.3
AcTlHg2,704.1,12.09,205.0,90.0,633.7
AcTlHg2,704.1,12.09,205.0,100.0,754.1
AcTlRh2,655.5,12.44,199.3,50.0,327.7
AcTlRh2,655.5,12.44,199.3,60.0,393.3
AcTlRh2,655.5,12.44,199.3,70.0,458.8
AcTlRh2,655.5,12.44,199.3,80.0,524.4
AcTlRh2,655.5,12.44,199.3,90.0,589.9
AcTlRh2,655.5,12.44,199.3,100.0,705.5
AcTlTe2,1063.1,8.43,293.1,50.0,531.6
AcTlTe2,1063.1,8.43,293.1,60.0,637.9
AcTlTe2,1063.1,8.43,293.1,70.0,744.2
AcTlTe2,1063.1,8.43,293.1,80.0,850.5
AcTlTe2,1063.1,8.43,293.1,90.0,956.8
AcTlTe2,1063.1,8.43,293.1,100.0,1113.1
AcVO3,1913.5,8.66,285.3,50.0,956.7
AcVO3,1913.5,8.66,285.3,60.0,1148.1
AcVO3,1913.5,8.66,285.3,70.0,1339.4
AcVO3,1913.5,8.66,285.3,80.0,1530.8
AcVO3,1913.5,8.66,285.3,90.0,1722.1
AcVO3,1913.5,8.66,285.3,100.0,1963.5
AcYbHg2,718.4,11.57,214.1,50.0,359.2
AcYbHg2,718.4,11.57,214.1,60.0,431.0
AcYbHg2,718.4,11.57,214.1,70.0,502.9
AcYbHg2,718.4,11.57,214.1,80.0,574.7
AcYbHg2,718.4,11.57,214.1,90.0,646.5
AcYbHg2,718.4,11.57,214.1,100.0,768.4
AcYbRh2,803.8,11.44,216.6,50.0,401.9
AcYbRh2,803.8,11.44,216.6,60.0,482.3
AcYbRh2,803.8,11.44,216.6,70.0,562.6
AcYbRh2,803.8,11.44,216.6,80.0,643.0
AcYbRh2,803.8,11.44,216.6,90.0,723.4
AcYbRh2,803.8,11.44,216.6,100.0,853.8
AcYbTl2,670.3,11.01,225.0,50.0,335.1
AcYbTl2,670.3,11.01,225.0,60.0,402.2
AcYbTl2,670.3,11.01,225.0,70.0,469.2
AcYbTl2,670.3,11.01,225.0,80.0,536.2
AcYbTl2,670.3,11.01,225.0,90.0,603.3
AcYbTl2,670.3,11.01,225.0,100.0,720.3
Ag,545.0,10.32,240.0,50.0,272.5
Ag,545.0,10.32,240.0,60.0,327.0
Ag,545.0,10.32,240.0,70.0,381.5
Ag,545.0,10.32,240.0,80.0,436.0
Ag,545.0,10.32,240.0,90.0,490.5
Ag,545.0,10.32,240.0,100.0,595.0
Ag(AuF4)2,1040.8,6.94,355.0,50.0,520.4
Ag(AuF4)2,1040.8,6.94,355.0,60.0,624.5
Ag(AuF4)2,1040.8,6.94,355.0,70.0,728.6
Ag(AuF4)2,1040.8,6.94,355.0,80.0,832.7
Ag(AuF4)2,1040.8,6.94,355.0,90.0,936.8
Ag(AuF4)2,1040.8,6.94,355.0,100.0,1090.8
Ag(BCl)6,831.6,2.67,903.8,50.0,415.8
Ag(BCl)6,831.6,2.67,903.8,60.0,499.0
Ag(BCl)6,831.6,2.67,903.8,70.0,582.1
Ag(BCl)6,831.6,2.67,903.8,80.0,665.3
Ag(BCl)6,831.6,2.67,903.8,90.0,748.5
Ag(BCl)6,831.6,2.67,903.8,100.0,881.6
Ag(TeMo)6,619.2,7.02,350.9,50.0,309.6
Ag(TeMo)6,619.2,7.02,350.9,60.0,371.5
Ag(TeMo)6,619.2,7.02,350.9,70.0,433.4
Ag(TeMo)6,619.2,7.02,350.9,80.0,495.3
Ag(TeMo)6,619.2,7.02,350.9,90.0,557.3
Ag(TeMo)6,619.2,7.02,350.9,100.0,669.2
Ag10Te4Br3,664.9,7.19,342.7,50.0,332.4
Ag10Te4Br3,664.9,7.19,342.7,60.0,398.9
Ag10Te4Br3,664.9,7.19,342.7,70.0,465.4
Ag10Te4Br3,664.9,7.19,342.7,80.0,531.9
