base_material,target_phase,density_g_cm3,specific_heat_j_kg_k,required_temp_c
agrhf6,triclinic,4.52,540.9,598.0
agrhf6,liquid,5.14,477.4,1249.4
agrhf6,trigonal,5.14,477.4,639.1
agruf7,liquid,4.48,546.2,1322.1
agruf7,monoclinic,4.48,546.2,566.2
agruo4,liquid,5.92,414.9,1005.5
agruo4,tetragonal,5.92,414.9,433.9
ags2(o3f)2,liquid,2.8,860.9,1303.1
ags2(o3f)2,monoclinic,2.8,860.9,685.1
agso3f,liquid,3.85,632.3,1266.1
agso3f,monoclinic,3.85,632.3,625.1
agso4,liquid,4.4,555.9,1166.8
agso4,monoclinic,4.4,555.9,588.6
agso4,liquid,4.18,584.1,1008.3
agso4,triclinic,4.18,584.1,422.6
agsb(s8f3)2,liquid,2.33,1030.4,1063.1
agsb(s8f3)2,monoclinic,2.33,1030.4,483.0
agsb2f12,liquid,4.56,536.2,1624.4
agsb2f12,triclinic,4.56,536.2,812.6
agsb3if24,liquid,3.66,665.2,1567.8
agsb3if24,monoclinic,3.66,665.2,689.5
agsbf6,liquid,5.03,487.4,1611.5
agsbf6,cubic,5.03,487.4,906.1
agsbo3,liquid,6.79,363.0,1200.0
agsbo3,cubic,6.79,363.0,511.8
agsbs(of3)2,liquid,3.6,674.9,1513.7
agsbs(of3)2,monoclinic,3.6,674.9,589.0
agsbs2,liquid,5.04,486.6,662.6
agsbs2,monoclinic,5.04,486.6,284.3
agsnf6,liquid,4.9,499.8,1508.4
agsnf6,triclinic,4.9,499.8,794.5
agsnse2,liquid,6.92,356.3,700.3
agsnse2,trigonal,6.92,356.3,278.7
agte4au,liquid,7.68,321.5,593.0
agte4au,monoclinic,7.68,321.5,303.7
agteo3,liquid,6.28,392.1,1065.9
agteo3,monoclinic,6.28,392.1,573.9
agw3br7,liquid,6.23,395.2,918.0
agw3br7,monoclinic,6.23,395.2,508.1
al,liquid,2.72,886.5,595.0
al,cubic,2.72,886.5,247.5
al(ag3se2)3,liquid,7.0,352.1,681.3
al(ag3se2)3,cubic,7.0,352.1,300.6
al(bh4)3,liquid,0.68,3190.7,596.6
al(bh4)3,orthorhombic,0.68,3190.7,304.4
al(bicl)4,liquid,5.07,483.4,1046.6
al(bicl)4,hexagonal,5.07,483.4,556.2
al(crb)2,liquid,5.45,450.3,721.5
al(crb)2,orthorhombic,5.45,450.3,388.2
al(feb)2,liquid,5.89,417.4,730.5
al(feb)2,orthorhombic,5.89,417.4,301.6
al(icl2)3,liquid,2.95,820.4,1036.5
al(icl2)3,monoclinic,2.95,820.4,457.1
al(io3)3,liquid,5.04,486.7,1135.8
al(io3)3,hexagonal,5.04,486.7,644.1
al(ni3b2)4,liquid,7.31,337.2,698.1
al(ni3b2)4,orthorhombic,7.31,337.2,370.4
al(po3)3,liquid,2.42,991.8,1828.5
al(po3)3,monoclinic,2.42,991.8,1004.2
al(secl)4,liquid,2.98,811.6,929.4
al(secl)4,orthorhombic,2.98,811.6,457.2
al(secl2)2,liquid,2.58,933.2,1031.1
al(secl2)2,orthorhombic,2.58,933.2,403.1
al(tecl2)2,liquid,2.96,817.8,1052.0
al(tecl2)2,orthorhombic,2.96,817.8,582.6
al(vs2)4,liquid,3.49,697.1,1079.4
al(vs2)4,orthorhombic,3.49,697.1,579.5
al11(cosi)6,liquid,4.45,549.8,719.8
al11(cosi)6,monoclinic,4.45,549.8,287.5
al11re4,liquid,7.68,321.4,730.4
al11re4,triclinic,7.68,321.4,397.3
al11tlo17,liquid,4.15,588.6,1996.8
al11tlo17,hexagonal,4.15,588.6,878.6
al11tlo17,liquid,4.02,607.1,2038.6
al11tlo17,orthorhombic,4.02,607.1,893.0
al12re,liquid,4.05,602.3,618.3
al12re,cubic,4.05,602.3,242.2
al12tc,liquid,3.36,722.1,631.1
al12tc,cubic,3.36,722.1,260.3
al13fe4,liquid,3.99,610.5,697.0
al13fe4,monoclinic,3.99,610.5,259.9
al13os4,liquid,7.13,345.8,789.1
al13os4,monoclinic,7.13,345.8,403.3
al13ru4,liquid,4.81,509.2,811.4
al13ru4,monoclinic,4.81,509.2,325.8
al2(cn2)3,liquid,2.4,999.6,824.2
al2(cn2)3,trigonal,2.4,999.6,316.0
al2(fesi)3,liquid,5.32,461.2,754.3
al2(fesi)3,triclinic,5.32,461.2,325.5
al2(moo4)3,liquid,3.45,703.3,1631.8
al2(moo4)3,orthorhombic,3.45,703.3,637.8
al2(ni7b2)3,liquid,8.09,305.4,706.5
al2(ni7b2)3,cubic,8.09,305.4,331.9
al2(so4)3,liquid,2.86,843.4,1600.7
al2(so4)3,trigonal,2.86,843.4,915.8
al2(seo4)3,liquid,3.62,672.6,1342.4
al2(seo4)3,trigonal,3.62,672.6,675.8
al2(zn13pd3)3,liquid,7.85,314.6,685.8
al2(zn13pd3)3,cubic,7.85,314.6,327.1
al21pd8,liquid,5.24,468.2,804.9
al21pd8,tetragonal,5.24,468.2,352.0
al21pt8,liquid,7.89,312.9,922.4
al21pt8,tetragonal,7.89,312.9,443.2
al23b50,liquid,3.1,781.8,581.1
al23b50,triclinic,3.1,781.8,229.1
al27(feni2)2,liquid,3.66,665.5,679.8
al27(feni2)2,triclinic,3.66,665.5,341.3
al2ag2bi2s3cl8,liquid,3.65,666.0,1156.4
al2ag2bi2s3cl8,hexagonal,3.65,666.0,487.4
al2agcl5o,liquid,2.44,985.4,1452.4
al2agcl5o,orthorhombic,2.44,985.4,718.5
al2au,liquid,7.7,320.6,772.8
al2au,cubic,7.7,320.6,420.8
al2b3ho8,liquid,2.06,1154.8,1862.3
al2b3ho8,orthorhombic,2.06,1154.8,986.3
al2bis4,liquid,3.77,646.8,1012.1
al2bis4,tetragonal,3.77,646.8,492.3
al2bise4,liquid,4.92,498.4,942.7
al2bise4,tetragonal,4.92,498.4,380.4
al2cd3(geo4)3,liquid,5.79,424.7,1572.3
al2cd3(geo4)3,cubic,5.79,424.7,819.1
al2cdbr8,liquid,3.66,664.2,1202.3
al2cdbr8,monoclinic,3.66,664.2,670.4
al2cdcl8,liquid,2.42,991.7,1261.3
al2cdcl8,monoclinic,2.42,991.7,609.6
al2cds4,liquid,3.08,786.5,1066.3
al2cds4,tetragonal,3.08,786.5,490.8
al2cdse4,liquid,4.39,556.2,1034.0
al2cdse4,tetragonal,4.39,556.2,437.7
al2cdte4,liquid,4.85,504.9,812.0
al2cdte4,tetragonal,4.85,504.9,346.5
al2coir,liquid,10.09,245.3,925.8
al2coir,cubic,10.09,245.3,452.3
al2coni,liquid,6.15,399.9,831.3
al2coni,tetragonal,6.15,399.9,465.7
al2coo4,liquid,4.29,569.4,1848.3
al2coo4,trigonal,4.29,569.4,843.3
al2coos,liquid,10.05,246.3,793.1
al2coos,cubic,10.05,246.3,331.8
al2coru,liquid,7.21,342.1,847.8
al2coru,cubic,7.21,342.1,407.1
al2cr3cus8,liquid,3.55,685.3,1049.1
al2cr3cus8,trigonal,3.55,685.3,469.2
al2cu,liquid,4.15,588.2,645.7
